state,as_of_date,enumerated,type,finished
Nevada,2020-08-27,76,observation,2020-10-07
New Hampshire,2020-08-27,78.8,observation,2020-10-02
New Jersey,2020-08-27,79.4,observation,2020-10-06
New Mexico,2020-08-27,69,observation,2020-10-15
New York,2020-08-27,76.8,observation,2020-10-06
North Carolina,2020-08-27,72.6,observation,2020-10-14
North Dakota,2020-08-27,82.8,observation,2020-10-04
Ohio,2020-08-27,83.4,observation,2020-10-03
Oklahoma,2020-08-27,76.9,observation,2020-10-11
Oregon,2020-08-27,88.5,observation,2020-09-30
Pennsylvania,2020-08-27,83.7,observation,2020-10-04
Rhode Island,2020-08-27,79.8,observation,2020-10-04
South Carolina,2020-08-27,71.6,observation,2020-10-17
South Dakota,2020-08-27,78.4,observation,2020-10-10
Tennessee,2020-08-27,80.5,observation,2020-10-05
Texas,2020-08-27,75.8,observation,2020-10-07
Utah,2020-08-27,83.3,observation,2020-10-01
Vermont,2020-08-27,78.3,observation,2020-09-26
Virginia,2020-08-27,82.4,observation,2020-10-06
Washington,2020-08-27,90.3,observation,2020-09-24
West Virginia,2020-08-27,91.5,observation,2020-09-12
